species;count;breedingtime;finbif_species;identifier
Phylloscopus trochilus;1105863;late;Phylloscopus trochilus;MX.33873
Fringilla coelebs;1759111;;Fringilla coelebs;MX.36237
Loxia curvirostra;34120;early;Loxia curvirostra;MX.36358
Parus major;1502147;;Parus major;MX.34567
Cyanistes caeruleus;1338164;;Cyanistes caeruleus;MX.34574
Turdus merula;1173968;;Turdus merula;MX.33106
Turdus iliacus;866651;;Turdus iliacus;MX.33118
Ficedula hypoleuca;843873;late;Ficedula hypoleuca;MX.34021
Spinus spinus;775825;;Carduelis spinus;MX.36287
Chloris chloris;743153;;Carduelis chloris;MX.36283
Turdus pilaris;705606;;Turdus pilaris;MX.33117
Erithacus rubecula;615105;;Erithacus rubecula;MX.32801
Larus canus;412148;;Larus canus;MX.27748
Dendrocopos major;391588;;Dendrocopos major;MX.30443
Corvus cornix;308779;;Corvus corone;MX.73566
Phylloscopus collybita;283112;late;Phylloscopus collybita;MX.33874
Passer domesticus;279889;;Passer domesticus;MX.36573
Sylvia atricapilla;277808;late;Sylvia atricapilla;MX.33934
Regulus regulus;258529;;Regulus regulus;MX.33954
Columba palumbus;255287;;Columba palumbus;MX.27911
Chroicocephalus ridibundus;241758;;Larus ridibundus;MX.27774
Passer montanus;232637;;Passer montanus;MX.36589
Corvus monedula;230892;;Corvus monedula;MX.37142
Sylvia borin;223073;late;Sylvia borin;MX.33935
Emberiza citrinella;216101;;Emberiza citrinella;MX.35146
Turdus philomelos;205645;;Turdus philomelos;MX.33119
Prunella modularis;192697;;Prunella modularis;MX.32772
Sylvia communis;178698;late;Sylvia communis;MX.33936
Carduelis carduelis;173007;;Carduelis carduelis;MX.36306
Certhia familiaris;168631;;Certhia familiaris;MX.34616
Sylvia curruca;166744;;Sylvia curruca;MX.33937
Muscicapa striata;166067;;Muscicapa striata;MX.33989
Pyrrhula pyrrhula;164106;;Pyrrhula pyrrhula;MX.36366
Periparus ater;162501;;Periparus ater;MX.34549
Troglodytes troglodytes;160653;;Troglodytes troglodytes;MX.32696
Pica pica;135599;;Pica pica;MX.37122
Motacilla alba;131239;;Motacilla alba;MX.32183
Anthus trivialis;131067;late;Anthus trivialis;MX.32214
Actitis hypoleucos;129804;;Actitis hypoleucos;MX.27634
Alauda arvensis;120168;;Alauda arvensis;MX.32065
Cuculus canorus;107086;late;Cuculus canorus;MX.28715
Luscinia luscinia;100780;late;Luscinia luscinia;MX.32819
Emberiza schoeniclus;96388;;Emberiza schoeniclus;MX.35182
Phylloscopus sibilatrix;95333;late;Phylloscopus sibilatrix;MX.33878
Grus grus;94099;;Grus grus;MX.27214
Apus apus;93222;late;Apus apus;MX.29324
Carpodacus erythrinus;85505;late;Carpodacus erythrinus;MX.36331
Cygnus cygnus;85244;;Cygnus cygnus;MX.26280
Hirundo rustica;83093;late;Hirundo rustica;MX.32132
Corvus corax;79004;;Corvus corax;MX.37178
Lophophanes cristatus;77911;;Lophophanes cristatus;MX.34553
Phoenicurus phoenicurus;75450;;Phoenicurus phoenicurus;MX.32895
Branta leucopsis;74167;;Branta leucopsis;MX.26299
Numenius arquata;70787;;Numenius arquata;MX.27613
Poecile montanus;68129;;Poecile montanus;MX.34535
Dryocopus martius;66600;;Dryocopus martius;MX.30504
Fringilla montifringilla;66289;;Fringilla montifringilla;MX.36239
Linaria cannabina;60987;;Carduelis cannabina;MX.36310
Scolopax rusticola;58906;;Scolopax rusticola;MX.27649
Acrocephalus schoenobaenus;55549;late;Acrocephalus schoenobaenus;MX.33641
Acrocephalus dumetorum;51978;late;Acrocephalus dumetorum;MX.33650
Sterna hirundo;51956;late;Sterna hirundo;MX.27801
Picus canus;51101;;Picus canus;MX.30530
Turdus viscivorus;47696;;Turdus viscivorus;MX.33121
Sturnus vulgaris;47651;;Sturnus vulgaris;MX.36817
Phasianus colchicus;47069;;Phasianus colchicus;MX.27152
Vanellus vanellus;46125;;Vanellus vanellus;MX.27527
Aegithalos caudatus;46102;;Aegithalos caudatus;MX.34505
Acanthis flammea;44704;;Carduelis flammea;MX.36308
Hippolais icterina;43367;late;Hippolais icterina;MX.33676
Larus argentatus;39620;;Larus argentatus;MX.27750
Botaurus stellaris;37148;;Botaurus stellaris;MX.26164
Haematopus ostralegus;35608;;Haematopus ostralegus;MX.27459
Delichon urbicum;32963;late;Delichon urbicum;MX.32163
Garrulus glandarius;31520;;Garrulus glandarius;MX.37090
Anas platyrhynchos;31275;;Anas platyrhynchos;MX.26373
Bombycilla garrulus;31033;;Bombycilla garrulus;MX.32608
Tringa ochropus;29033;;Tringa ochropus;MX.27626
Gallinago gallinago;27368;;Gallinago gallinago;MX.27666
Dryobates minor;27097;;Dendrocopos minor;MX.30428
Tringa nebularia;25959;;Tringa nebularia;MX.27622
Branta canadensis;25670;;Branta canadensis;MX.26298
Strix aluco;24474;early;Strix aluco;MX.28998
Buteo buteo;24103;;Buteo buteo;MX.26701
Ficedula parva;21614;late;Ficedula parva;MX.34029
Bucephala clangula;20938;;Bucephala clangula;MX.26435
Anser fabalis;18618;;Anser fabalis;MX.26287
Anser albifrons;17679;;Anser albifrons;MX.26289
Fulica atra;17578;;Fulica atra;MX.27381
Tringa glareola;17425;;Tringa glareola;MX.27628
Gavia arctica;17357;;Gavia arctica;MX.25837
Anas crecca;17272;;Anas crecca;MX.26366
Falco subbuteo;16127;late;Falco subbuteo;MX.26811
Saxicola rubetra;15933;;Saxicola rubetra;MX.32949
Falco tinnunculus;15565;;Falco tinnunculus;MX.26796
Sterna paradisaea;15037;late;Sterna paradisaea;MX.27802
Podiceps cristatus;14861;;Podiceps cristatus;MX.25860
Somateria mollissima;13656;;Somateria mollissima;MX.26419
Tringa totanus;13054;;Tringa totanus;MX.27620
Motacilla flava;12796;late;Motacilla flava;MX.32180
Jynx torquilla;12716;late;Jynx torquilla;MX.30333
Crex crex;12411;late;Crex crex;MX.27328
Sitta europaea;11964;;Sitta europaea;MX.34586
Anser anser;11398;;Anser anser;MX.26291
Columba oenas;10921;;Columba oenas;MX.27908
Columba livia;10835;early;Columba livia;MX.27903
Hydrocoloeus minutus;10808;;Hydrocoloeus minutus;MX.27777
Coccothraustes coccothraustes;10397;;Coccothraustes coccothraustes;MX.36368
Tetrao tetrix;10365;;Tetrao tetrix;MX.26926
Mareca penelope;10261;;Anas penelope;MX.26360
Pandion haliaetus;9829;;Pandion haliaetus;MX.26472
Ardea cinerea;9677;;Ardea cinerea;MX.26094
Anthus pratensis;9659;;Anthus pratensis;MX.32213
Oenanthe oenanthe;9507;;Oenanthe oenanthe;MX.32966
Streptopelia decaocto;8898;;Streptopelia decaocto;MX.27960
Gavia stellata;8572;;Gavia stellata;MX.25836
Tetrastes bonasia;8056;;Tetrastes bonasia;MX.26931
Accipiter gentilis;7663;;Accipiter gentilis;MX.26647
Tarsiger cyanurus;7125;late;Tarsiger cyanurus;MX.32816
Emberiza rustica;7123;;Emberiza rustica;MX.35167
Podiceps grisegena;6991;;Podiceps grisegena;MX.25859
Pluvialis apricaria;6632;;Pluvialis apricaria;MX.27553
Larus marinus;6014;;Larus marinus;MX.27759
Numenius phaeopus;5879;;Numenius phaeopus;MX.27610
Dendrocopos leucotos;5859;;Dendrocopos leucotos;MX.30438
Larus fuscus;5784;;Larus fuscus;MX.27753
Panurus biarmicus;5562;;Panurus biarmicus;MX.33492
Acrocephalus scirpaceus;5471;;Acrocephalus scirpaceus;MX.33646
Aegolius funereus;5184;early;Aegolius funereus;MX.29038
Lullula arborea;5045;;Lullula arborea;MX.32063
Riparia riparia;5020;late;Riparia riparia;MX.32120
Caprimulgus europaeus;4852;;Caprimulgus europaeus;MX.29172
Gallinula chloropus;4742;;Gallinula chloropus;MX.27364
Serinus serinus;4713;;Serinus serinus;MX.36242
Accipiter nisus;4557;;Accipiter nisus;MX.26639
Lanius collurio;4403;late;Lanius collurio;MX.32561
Acrocephalus palustris;4301;late;Acrocephalus palustris;MX.33649
Bubo bubo;4235;early;Bubo bubo;MX.28965
Phylloscopus trochiloides;4182;late;Phylloscopus trochiloides;MX.33891
Asio otus;4177;early;Asio otus;MX.29068
Pernis apivorus;3887;late;Pernis apivorus;MX.26488
Cygnus columbianus;3812;;Cygnus columbianus;MX.26282
Alcedo atthis;3808;;Alcedo atthis;MX.29860
Acrocephalus arundinaceus;3709;late;Acrocephalus arundinaceus;MX.33651
Charadrius dubius;3699;;Charadrius dubius;MX.27562
Locustella naevia;3614;late;Locustella naevia;MX.33630
Clangula hyemalis;3354;;Clangula hyemalis;MX.26427
Falco columbarius;3207;;Falco columbarius;MX.26808
Corvus frugilegus;3187;;Corvus frugilegus;MX.37156
Rallus aquaticus;3079;;Rallus aquaticus;MX.27276
Cygnus olor;3055;;Cygnus olor;MX.26277
Locustella fluviatilis;2946;late;Locustella fluviatilis;MX.33634
Hydroprogne caspia;2925;;Hydroprogne caspia;MX.27797
Haliaeetus albicilla;2893;;Haliaeetus albicilla;MX.26530
Porzana porzana;2876;late;Porzana porzana;MX.27345
Regulus ignicapilla;2579;;Regulus ignicapilla;MX.33952
Oriolus oriolus;2426;late;Oriolus oriolus;MX.36871
Glaucidium passerinum;2371;early;Glaucidium passerinum;MX.29011
Luscinia svecica;2266;late;Luscinia svecica;MX.32821
Tringa erythropus;2160;;Tringa erythropus;MX.27619
Locustella luscinioides;2141;;Locustella luscinioides;MX.33635
Phoenicurus ochruros;2136;;Phoenicurus ochruros;MX.32894
Mergus merganser;2001;;Mergus merganser;MX.26442
Poecile palustris;1989;;Poecile palustris;MX.34532
Motacilla cinerea;1895;;Motacilla cinerea;MX.32182
Turdus torquatus;1656;;Turdus torquatus;MX.33104
Pinicola enucleator;1592;early;Pinicola enucleator;MX.36351
Charadrius hiaticula;1587;;Charadrius hiaticula;MX.27559
Picoides tridactylus;1567;;Picoides tridactylus;MX.30453
Upupa epops;1483;;Upupa epops;MX.30031
Nucifraga caryocatactes;1427;;Nucifraga caryocatactes;MX.37135
Anas acuta;1386;;Anas acuta;MX.26382
Mareca strepera;1368;;Anas strepera;MX.26364
Loxia leucoptera;1281;early;Loxia leucoptera;MX.36359
Loxia pytyopsittacus;1191;early;Loxia pytyopsittacus;MX.36356
Phylloscopus proregulus;1177;late;Phylloscopus proregulus;MX.33887
Circus aeruginosus;1050;;Circus aeruginosus;MX.26597
Emberiza hortulana;1041;late;Emberiza hortulana;MX.35154
Remiz pendulinus;945;;Remiz pendulinus;MX.34517
Perdix perdix;892;early;Perdix perdix;MX.27048
Lagopus lagopus;885;;Lagopus lagopus;MX.26921
Coturnix coturnix;863;;Coturnix coturnix;MX.27058
Eremophila alpestris;833;;Eremophila alpestris;MX.32076
Lanius excubitor;748;;Lanius excubitor;MX.32570
Calidris temminckii;673;;Calidris temminckii;MX.27689
Cinclus cinclus;658;;Cinclus cinclus;MX.32625
Sylvia nisoria;596;;Sylvia nisoria;MX.33939
Tetrao urogallus;546;;Tetrao urogallus;MX.26928
Podiceps auritus;522;;Podiceps auritus;MX.25861
Milvus migrans;509;;Milvus migrans;MX.26518
Poecile cinctus;481;;Poecile cinctus;MX.34542
Anthus petrosus;477;;Anthus petrosus;MX.32221
Alca torda;469;;Alca torda;MX.27850
Limosa limosa;454;;Limosa limosa;MX.27603
Cepphus grylle;450;;Cepphus grylle;MX.27855
Ardea alba;441;;Egretta alba;MX.26105
Streptopelia turtur;435;;Streptopelia turtur;MX.27955
Buteo lagopus;411;;Buteo lagopus;MX.26704
Melanitta nigra;405;;Melanitta nigra;MX.26429
Phylloscopus borealis;391;late;Phylloscopus borealis;MX.33890
Pluvialis squatarola;382;;Pluvialis squatarola;MX.27556
Surnia ulula;381;early;Surnia ulula;MX.29008
Strix uralensis;372;early;Strix uralensis;MX.29003
Anthus cervinus;365;;Anthus cervinus;MX.32217
Merops apiaster;365;;Merops apiaster;MX.29998
Falco peregrinus;357;;Falco peregrinus;MX.26828
Motacilla citreola;356;;Motacilla citreola;MX.32181
Plectrophenax nivalis;350;;Plectrophenax nivalis;MX.35189
Limosa lapponica;319;;Limosa lapponica;MX.27605
Aythya fuligula;318;;Aythya fuligula;MX.26415
Phylloscopus inornatus;318;late;Phylloscopus inornatus;MX.33889
Anser brachyrhynchus;310;;Anser brachyrhynchus;MX.26288
Ficedula albicollis;297;late;Ficedula albicollis;MX.34022
Tachybaptus ruficollis;288;;Tachybaptus ruficollis;MX.25844
Strix nebulosa;259;early;Strix nebulosa;MX.29004
Arenaria interpres;248;;Arenaria interpres;MX.27642
Uria aalge;238;;Uria aalge;MX.27853
Calcarius lapponicus;236;late;Calcarius lapponicus;MX.35185
Tadorna tadorna;228;;Tadorna tadorna;MX.26323
Spatula clypeata;221;;Anas clypeata;MX.26394
Thalasseus sandvicensis;208;;Sterna sandvicensis;MX.27830
Stercorarius parasiticus;188;;Stercorarius parasiticus;MX.27730
Aquila chrysaetos;184;;Aquila chrysaetos;MX.26727
Calidris alpina;182;;Calidris alpina;MX.27699
Branta bernicla;181;;Branta bernicla;MX.26300
Gallinago media;177;;Gallinago media;MX.27665
Linaria flavirostris;163;;Carduelis flavirostris;MX.36309
Aythya ferina;160;;Aythya ferina;MX.26407
Xenus cinereus;158;;Xenus cinereus;MX.27632
Phalacrocorax carbo;158;;Phalacrocorax carbo;MX.26043
Emberiza pusilla;155;;Emberiza pusilla;MX.35165
Zapornia parva;150;;Porzana parva;MX.27342
Sternula albifrons;146;late;Sternula albifrons;MX.27821
Perisoreus infaustus;145;;Perisoreus infaustus;MX.37095
Chlidonias niger;132;late;Chlidonias niger;MX.27791
Iduna caligata;126;late;Iduna caligata;MX.33671
Stercorarius longicaudus;124;late;Stercorarius longicaudus;MX.27731
Anthus campestris;122;late;Anthus campestris;MX.32207
Charadrius morinellus;108;late;Charadrius morinellus;MX.27597
Spatula querquedula;106;;Anas querquedula;MX.26388
Calidris canutus;92;late;Calidris canutus;MX.27682
Lymnocryptes minimus;89;late;Lymnocryptes minimus;MX.27674
Calidris alba;89;late;Calidris alba;MX.27684
Clanga clanga;75;late;Aquila clanga;MX.26723
Tringa stagnatilis;74;late;Tringa stagnatilis;MX.27621
Asio flammeus;70;;Asio flammeus;MX.29072
Lagopus muta;64;;Lagopus muta;MX.26922
Mergus serrator;62;late;Mergus serrator;MX.26440
Circus pygargus;51;late;Circus pygargus;MX.26596
Circus cyaneus;51;late;Circus cyaneus;MX.26592
Falco rusticolus;45;late;Falco rusticolus;MX.26825
Bubo scandiacus;42;;Bubo scandiacus;MX.28987
Calidris ferruginea;35;late;Calidris ferruginea;MX.27700
Calidris minuta;34;late;Calidris minuta;MX.27688
Melanitta fusca;28;;Melanitta fusca;MX.26431
Anser erythropus;28;late;Anser erythropus;MX.26290
Mergellus albellus;18;late;Mergellus albellus;MX.26438
Calidris maritima;14;late;Calidris maritima;MX.27697
Calidris falcinellus;11;late;Calidris falcinellus;MX.27704
Phalaropus lobatus;10;late;Phalaropus lobatus;MX.27646
Aythya marila;6;;Aythya marila;MX.26416
Circus macrourus;5;late;Circus macrourus;MX.26594
